Date,Longitude,Latitude,Wind speed,Air temperature,SST,RH,P,Rs,zu,zt
20071202,2.500002,-13.74994,8.061404,20.27161,21.07571,74.10367,1012.6996,191.81851,30.899999618530273,25.5
20071202,255.67935,13.5832,4.6991,28.073505,28.800577,75.73004,1011.96405,196.50241,10.300000190734863,10.300000190734863
20071203,6.1473966,-14.113205,8.267206,20.429361,21.760612,73.327705,1010.41235,213.2869,19.799999237060547,19.799999237060547
20071203,255.63814,16.993444,4.936891,27.289417,28.375122,77.95763,1012.59735,119.38468,10.300000190734863,10.300000190734863
20071204,7.812263,-14.307447,5.4517274,20.01518,21.524673,73.00789,1010.4285,259.11182,30.899999618530273,25.5
20071204,255.68607,19.055496,3.6469188,26.980482,28.987104,77.87058,1012.0629,534.8175,30.899999618530273,25.5
20071205,12.20015,-14.750555,4.055116,19.54878,22.281921,79.578896,1011.4315,3.7116277,19.799999237060547,19.799999237060547
20071205,255.68607,19.055496,2.3745863,27.110304,28.482264,66.10891,1010.03625,466.33298,10.300000190734863,10.300000190734863
20071206,255.68607,19.055496,2.3459296,26.78503,28.333382,67.98963,1012.17596,494.6393,10.300000190734863,10.300000190734863
20071206,11.250867,-17.498814,7.744611,16.036945,16.572037,80.60465,1012.273,300.7257,19.799999237060547,19.799999237060547
20071207,11.999011,-19.999966,6.895042,16.53331,16.754194,78.56431,1013.0908,219.36974,30.899999618530273,25.5
20071207,255.68607,19.055498,4.051294,26.005352,28.48089,73.51463,1013.3598,538.2599,10.300000190734863,10.300000190734863
20071208,13.330448,-23.596794,4.414237,15.949864,15.489953,84.79826,1011.9106,148.34149,30.899999618530273,25.5
20071208,255.61447,18.369232,2.3394618,25.367205,27.591255,74.16457,1011.286,434.14478,19.799999237060547,19.799999237060547
20071209,13.952192,-25.000502,2.5698974,15.707693,14.982202,88.289055,1011.7,212.7504,10.300000190734863,10.300000190734863
